matchNumber,alliance,teamNumber
44,redAlliance,555
44,redAlliance,75
44,blueAlliance,341
44,blueAlliance,427
44,blueAlliance,102
45,redAlliance,5992
45,redAlliance,2495
45,redAlliance,1391
45,blueAlliance,1403
45,blueAlliance,316
45,blueAlliance,222
46,redAlliance,1676
46,redAlliance,834
46,redAlliance,5181
46,blueAlliance,2539
46,blueAlliance,2720
46,blueAlliance,1089
47,redAlliance,272
47,redAlliance,223
47,redAlliance,1089
47,blueAlliance,5895
47,blueAlliance,4573
47,blueAlliance,5684
48,redAlliance,1923
48,redAlliance,8513
48,redAlliance,1811
48,blueAlliance,7110
48,blueAlliance,56
48,blueAlliance,2720
49,redAlliance,2539
49,redAlliance,11
49,redAlliance,484
49,blueAlliance,1640
49,blueAlliance,1279
49,blueAlliance,1807
50,redAlliance,9015
50,redAlliance,7414
50,redAlliance,3314
50,blueAlliance,293
50,blueAlliance,2722
50,blueAlliance,4285
51,redAlliance,2590
51,redAlliance,9094
51,redAlliance,219
51,blueAlliance,365
51,blueAlliance,5181
51,blueAlliance,2607
52,redAlliance,555
52,redAlliance,341
52,redAlliance,1168
52,blueAlliance,4361
52,blueAlliance,714
52,blueAlliance,1676
53,redAlliance,3637
53,redAlliance,7045
53,redAlliance,2495
53,blueAlliance,1257
53,blueAlliance,6226
53,blueAlliance,6921
54,redAlliance,4573
54,redAlliance,316
54,redAlliance,5992
54,blueAlliance,5401
54,blueAlliance,2191
54,blueAlliance,5438
55,redAlliance,1403
55,redAlliance,9027
55,redAlliance,5895
55,blueAlliance,222
55,blueAlliance,102
55,blueAlliance,834
56,redAlliance,5684
56,redAlliance,223
56,redAlliance,427
56,blueAlliance,3142
56,blueAlliance,1391
56,blueAlliance,1218
57,redAlliance,5401
57,redAlliance,9027
57,redAlliance,1218
57,blueAlliance,1923
57,blueAlliance,1807
57,blueAlliance,2495
58,redAlliance,321
58,redAlliance,4342
58,redAlliance,272
58,blueAlliance,1089
58,blueAlliance,75
58,blueAlliance,103
59,redAlliance,219
59,redAlliance,1807
59,redAlliance,365
59,blueAlliance,8513
59,blueAlliance,4285
59,blueAlliance,1279
60,redAlliance,1811
60,redAlliance,2607
60,redAlliance,56
60,blueAlliance,1676
60,blueAlliance,555
60,blueAlliance,11
61,redAlliance,2720
61,redAlliance,1640
61,redAlliance,341
61,blueAlliance,2590
61,blueAlliance,2495
61,blueAlliance,293
62,redAlliance,714
62,redAlliance,7110
62,redAlliance,3314
62,blueAlliance,7414
62,blueAlliance,4361
62,blueAlliance,4573
63,redAlliance,5992
63,redAlliance,1403
63,redAlliance,2539
63,blueAlliance,6921
63,blueAlliance,9027
63,blueAlliance,3637
64,redAlliance,1391
64,redAlliance,5684
64,redAlliance,1168
64,blueAlliance,2191
64,blueAlliance,3142
64,blueAlliance,834
65,redAlliance,7045
65,redAlliance,427
65,redAlliance,5895
65,blueAlliance,316
65,blueAlliance,4342
65,blueAlliance,5181
66,redAlliance,1089
66,redAlliance,5438
66,redAlliance,102
66,blueAlliance,321
66,blueAlliance,9094
66,blueAlliance,223
67,redAlliance,103
67,redAlliance,1257
67,redAlliance,272
