matchNumber,teamNumber,initials,autoSpeakerMade,autoSpeakerMissed,autoAmpMade,autoAmpMissed,teleopAmpMade,teleopAmpMissed,teleopSpeakerMade,teleopSpeakerMissed,notesFed,trapMade,trapMissed,climbed,buddyClimb,brokeDown,comments
45,3637,RA,0,0,0,0,3,0,1,0,1,0,0,0,0,0,Attempted to take from centerline but failed. didn't try to climb.
45,1811,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
45,9027,Sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Just ran shot and do nothing auto
Got distracted by 2539 tipping so might have scored a few notes.
Played ok defense but probably shouldn't be picked for it though"
46,834,RA,1,0,0,0,0,0,4,0,0,0,0,0,0,0,Potentials 3 piece auto two from center. Missed speaker shot. Made a shot from the speaker.
46,1168,SJ,4,0,0,0,6,0,10,0,0,0,0,0,0,0,Excellent teamwork scored 133 excluding stage score. High accuracy shooting mechanism
46,3142,Sb,2,0,0,0,0,0,1,0,1,0,0,0,0,0,Tried to climb with a second left
46,1391,AV,4,0,0,0,0,0,3,0,1,0,0,0,0,0,Attempted buddy climb but something went wrong with their arm.
46,2191,TB,0,0,0,0,5,0,1,0,0,0,0,0,0,0,
47,427,SJ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,No motion from start to end
47,7045,AV,0,0,0,0,0,0,2,0,0,0,0,1,0,0,
47,5895,CJ,3,0,0,0,1,0,11,0,0,0,0,0,0,0,
47,4342,LB,4,0,0,0,3,0,3,0,0,0,0,1,0,0,
47,316,TB,2,0,0,0,4,0,4,0,0,0,0,1,1,0,
47,5181,RA,2,0,0,0,0,0,3,0,1,0,0,1,1,0,Slow but consistent scoring and buddy climb.
48,223,RA,3,0,0,0,0,0,4,0,1,0,0,0,0,0,Missed the amp several times. Note stuck in robot for 10 seconds. Missed speaker shot.
48,102,CJ,3,0,0,0,4,0,1,0,0,0,0,0,0,0,Attempted climb
