Auto Shots Made Amp,Auto Shots Made Speaker,Auto Starting Position,Broke Down,Buddy Climb,Climbed,Comments,Event ID,Initials,Initials Fixed,Match Number,Pickup From Center Line,Shots Made Trap,Table Name,Taxi Off Starting Zone,Teleop Shots Made Amp,Teleop Shots Made Speaker,Total Telop Notes,Auto Amp Points,Auto Speaker Points,Lobbing,Match Team Number,Teleop Speaker Points,Total Auto Points,Total Points,Total Teleop Points
0,1,,0,0,1,Standard round good speed consistent scoring. They could q!so score from a but if distance they didn't just have to come up close.,2024mrcmp,RA,RA,17,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,0,2,5,7,0,5,0,484,10,5,20,15
0,2,,0,0,1,,2024mrcmp,WL,WL,18,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,0,0,4,4,0,10,0,5684,8,10,21,11
0,0,,0,1,1,,2024mrcmp,WL,WL,18,1,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,0,3,1,4,0,0,0,2495,2,0,8,8
0,1,,0,0,0,,2024mrcmp,AO,AO,18,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,0,2,1,3,0,5,1,1089,2,5,9,4
0,3,,0,0,0,,2024mrcmp,MI,MI,18,1,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,1,5,6,0,15,0,1168,10,17,28,11
0,1,,0,1,1,,2024mrcmp,SG,SG,18,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,0,5,5,0,5,0,714,10,7,20,13
0,2,,0,0,0,Peddie seemed much slower and they goobed their auto,2024mrcmp,RA,RA,18,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,4,5,9,0,10,0,5895,10,12,26,14
0,0,,0,0,0,,2024mrcmp,LB,LB,18,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,0,0,2,2,0,0,0,321,4,0,4,4
0,0,,0,0,1,,2024mrcmp,WL,WL,19,1,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,0,1,1,0,0,0,222,2,2,7,5
0,3,,0,0,1,"Got a note stuck in their bot that stoped them from getting more.
The third price may have been 75 I started scouting them at the end by accident.",2024mrcmp,Sb,SB,19,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,1,3,4,0,15,0,6921,6,17,27,10
0,2,,0,1,1,,2024mrcmp,LB,LB,19,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,0,5,5,0,10,1,75,10,12,25,13
0,0,,0,1,1,,2024mrcmp,SG,SG,19,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,0,5,5,10,0,0,0,2722,10,0,18,18
0,2,,0,0,1,,2024mrcmp,AO,AO,19,1,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,4,3,7,0,10,0,316,6,12,25,13
0,1,,0,0,0,,2024mrcmp,MI,MI,19,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,0,1,1,0,5,1,555,2,7,9,2
0,1,,0,0,0,,2024mrcmp,LB,LB,20,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,0,1,3,4,0,5,1,223,6,5,12,7
0,0,,0,0,0,,2024mrcmp,MI,MI,20,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,2,1,3,0,0,0,5992,2,2,6,4
0,3,,0,1,0,May have missed a game piece during auto,2024mrcmp,Sb,SB,20,1,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,3,7,10,0,15,0,341,14,17,34,17
1,0,,0,0,0,,2024mrcmp,SG,SG,20,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,6,0,6,2,0,0,6226,0,4,10,6
0,1,,0,1,1,,2024mrcmp,AO,AO,20,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,4,2,6,0,5,1,365,4,7,18,11
0,2,,0,0,1,May have miscounted the number of notes by one,2024mrcmp,Sb,SB,21,1,1,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,0,9,9,0,10,1,2539,18,12,38,26
0,2,,0,0,1,,2024mrcmp,TB,TB,21,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,3,1,4,0,10,1,1640,2,12,20,8
0,1,,0,0,0,,2024mrcmp,AO,AO,21,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,2,3,5,0,5,0,9094,6,7,15,8
0,1,,0,0,1,Tried to get the rings on the centre line but they just missed them.,2024mrcmp,,,21,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,0,7,7,0,5,0,1923,14,7,24,17
0,0,,0,0,1,Missed 2 shots in speaker during auto,2024mrcmp,SJ,SJ,21,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,0,8,8,0,0,0,219,16,2,21,19
0,1,,0,0,0,,2024mrcmp,CJ,CJ,21,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,0,6,0,6,0,5,0,2191,0,5,11,6
0,0,,0,0,1,,2024mrcmp,AO,AO,22,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,0,4,0,4,0,0,1,11,0,0,7,7
0,4,,0,1,1,Got distracted with around 60-30 seconds left,2024mrcmp,Sb,SB,22,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,0,4,4,0,20,1,2607,8,22,33,11
0,1,,0,0,1,,2024mrcmp,AV,AV,22,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,0,0,5,5,0,5,0,7110,10,5,18,13
0,3,,0,1,1,,2024mrcmp,TB,TB,22,1,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,2,4,6,0,15,1,1807,8,17,30,13
0,3,,0,0,1,Spent majority of troop stage passing notes to alliance. Several attempts for trap but failed.,2024mrcmp,SJ,SJ,22,1,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,0,4,4,0,15,0,103,8,17,28,11
