matchNumber,alliance,scouterInitials,selectTeam,startPoses0,startPoses1,startPoses2,startPoses3,startPoses4,startPoses5,autoCoralPlaceL1Count,autoCoralPlaceL2Count,autoCoralPlaceL3Count,autoCoralPlaceL4Count,autoCoralPlaceDropMissCount,autoCoralPickPreloadCount,autoCoralPickStationCount,autoCoralPickMark1Count,autoCoralPickMark2Count,autoCoralPickMark3Count,autoAlgaePlaceNetShot,autoAlgaePlaceProcessor,autoAlgaePlaceDropMiss,autoAlgaePickReefCount,autoAlgaePickMark1Count,autoAlgaePickMark2Count,autoAlgaePickMark3Count,autoPassedStartLine,teleopCoralPlaceL1Count,teleopCoralPlaceL2Count,teleopCoralPlaceL3Count,teleopCoralPlaceL4Count,teleopCoralPlaceDropMissCount,teleopCoralPickStationCount,teleopCoralPickCarpetCount,teleopAlgaePlaceNetShot,teleopAlgaePlaceProcessor,teleopAlgaePlaceDropMiss,teleopAlgaePickReefCount,teleopAlgaePickCarpetCount,shallowClimbAttempted,deepClimbAttempted,parkAttempted,climbFailed,playedDefense,brokeDown,comment
3,redAlliance,NP,2458,false,false,false,false,true,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,1,5,0,6,false,false,true,false,false,false,trouble picking up and moving the ball
4,redAlliance,NP,316,false,true,false,false,false,false,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,true,1,1,0,10,0,12,0,0,0,0,0,0,false,false,true,false,false,false,
5,redAlliance,NP,193,false,false,true,false,false,false,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,4,0,4,0,0,0,0,0,0,false,true,false,false,false,false,slow cycle time
6,redAlliance,NP,1640,false,false,false,false,true,false,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,true,0,4,2,4,2,12,0,0,0,0,0,0,false,true,false,false,false,false,
7,redAlliance,NP,11,false,false,false,false,true,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,shot dead in the bronx
8,redAlliance,NP,365,false,true,false,false,false,false,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,true,1,0,0,6,2,9,0,0,0,0,0,0,false,true,false,false,false,false,
9,redAlliance,NP,2720,false,true,false,false,false,false,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,true,0,2,3,2,1,8,0,0,0,0,0,0,false,true,false,false,false,false,
10,redAlliance,NP,9015,false,true,false,false,false,false,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,true,0,0,0,1,1,2,0,0,0,0,0,0,false,false,true,false,true,true,"ele broke, then drives broke"
11,redAlliance,NP,1257,false,false,true,false,false,false,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,true,0,3,0,0,0,3,0,0,1,0,0,1,false,false,false,false,false,false,
12,redAlliance,NP,5401,false,false,true,false,false,false,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,true,2,2,2,2,0,8,0,3,0,0,3,0,false,true,false,false,false,false,
13,redAlliance,NP,56,true,false,false,false,false,false,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,false,0,1,1,2,0,4,0,0,0,0,0,0,false,false,false,true,false,false,
14,redAlliance,NP,341,false,true,false,false,false,false,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,true,0,3,2,4,0,9,0,0,0,0,0,0,false,true,false,false,false,false,
15,redAlliance,NP,2458,false,false,true,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,true,true,stalled multiple times
16,redAlliance,NP,10157,false,false,true,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,robot didn't pull up
17,redAlliance,NP,193,false,false,true,false,false,false,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,4,2,6,0,0,0,0,0,0,false,true,false,false,false,false,
18,redAlliance,NP,3637,false,false,true,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,3,4,2,0,9,0,0,0,0,0,0,false,true,false,false,false,false,
19,redAlliance,NP,708,false,true,false,false,false,false,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,2,0,2,0,0,0,0,0,0,false,false,false,false,false,true,slowed down and stopped
20,redAlliance,NP,2722,false,true,false,false,false,false,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,true,1,2,2,4,0,9,0,0,0,0,0,0,false,false,true,false,false,false,
21,redAlliance,NP,6808,true,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,1,3,0,4,0,0,0,0,0,0,false,false,true,true,false,false,
22,redAlliance,NP,4373,true,false,false,false,false,false,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,true,0,2,3,3,0,8,0,0,0,0,0,0,false,false,true,true,false,false,
23,redAlliance,NP,365,false,false,false,true,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,3,3,3,0,9,0,0,0,0,0,0,false,true,false,false,false,false,
25,redAlliance,NP,1257,false,false,false,true,false,false,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,true,1,0,3,3,3,10,0,0,0,0,0,0,false,false,false,false,false,false,
26,redAlliance,VA,11,false,false,false,false,true,false,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,true,0,3,2,2,1,8,0,2,2,1,5,0,false,true,false,false,false,false,Triple climb
27,redAlliance,VA,5992,false,false,true,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,4,0,3,7,0,0,0,0,0,0,false,false,true,false,false,false,
28,redAlliance,NP,9416,false,false,true,false,false,false,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,2,0,0,2,false,true,false,false,false,false,
29,redAlliance,NP,25,false,false,true,false,false,false,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,true,0,0,4,0,3,7,0,0,0,0,0,0,false,false,false,false,false,false,
30,redAlliance,NP,1712,false,false,true,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,6,0,2,4,false,false,true,false,false,false,
31,redAlliance,NP,2539,false,false,false,true,false,false,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,true,0,0,0,1,1,2,0,0,0,0,0,0,false,false,false,false,false,true,elevator broke
32,redAlliance,NP,341,false,true,false,false,false,false,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,true,0,0,0,5,1,6,0,0,0,0,0,0,false,false,true,false,false,false,
33,redAlliance,NP,5895,false,false,false,true,false,false,0,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0,true,0,3,2,4,3,12,0,5,0,1,4,2,false,true,false,false,false,false,
34,redAlliance,NP,321,false,false,true,false,false,false,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,true,2,1,1,2,2,8,0,0,0,0,0,0,false,false,true,false,false,false,
1,blueAlliance,EL,4373,true,false,false,false,false,false,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,true,1,0,5,1,1,8,0,0,0,2,2,0,false,true,false,true,false,false,"Could not latch onto cage, took too long."
2,blueAlliance,EL,2539,false,false,false,true,false,false,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,true,1,3,5,4,2,15,0,0,0,0,0,0,false,true,false,false,false,false,
3,blueAlliance,EL,5401,false,false,true,false,false,false,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,6,3,9,0,3,0,1,4,0,false,true,false,true,false,false,too slow to climb
4,blueAlliance,EL,102,false,false,true,false,false,false,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,true,1,0,2,0,7,10,0,0,0,1,1,0,false,false,false,false,false,false,
5,blueAlliance,EL,2559,true,false,false,false,false,false,0,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,true,0,0,2,8,0,10,0,1,0,0,1,0,false,false,true,true,false,false,didnt line up
6,blueAlliance,LB,4361,true,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,0,1,1,0,2,4,0,0,1,0,0,1,false,true,false,false,false,false,Inaccurate and slow
7,blueAlliance,JP,5992,false,false,true,false,false,false,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,true,0,0,3,6,2,11,0,0,0,0,0,0,false,false,true,false,false,false,"Sometimes ""shoots"" the coral instead of placing it, usually misses"
8,blueAlliance,JP,1676,true,false,false,false,false,false,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,true,0,0,0,2,0,2,0,0,8,0,2,6,false,false,false,true,false,false,Fast algae processing
9,blueAlliance,JP,1391,false,false,false,true,false,false,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,true,4,1,3,0,2,10,0,2,0,0,2,0,false,true,false,false,false,false,Speedy but sometimes inaccurate
10,blueAlliance,JP,2590,false,false,false,true,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,1,2,1,3,1,1,7,0,0,0,0,0,false,false,false,true,false,false,"Super cool robot arm, pick up coral off ground but scoring on reef is rather slow.  Climb did not work"
11,blueAlliance,JP,75,false,true,false,false,false,false,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,true,2,0,0,5,1,8,0,0,2,0,2,0,false,false,false,true,false,false,Can score and remove algae at same time.  Missed a couple L4s but they luckily landed on the reef still
12,blueAlliance,JP,834,false,false,false,true,false,false,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,true,0,2,4,2,3,11,0,0,0,0,0,0,false,true,false,false,false,false,"Scores faster in L4 than L3 or L2, missed ocassionally, awkward climb (keep the robot upright but climb is on only one side??)"
13,blueAlliance,JP,223,false,true,false,false,false,false,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,2,0,2,0,2,5,0,5,2,false,false,true,false,false,false,"Squeezes the hell out of those balls, one even popped.  Very wobbly when robot is at higher levels, slightly mediocre management of drive team when robot arms are up.  The robot doesn't really ""shoot"" algae into the net, looks more like they drop it off and push it in."
14,blueAlliance,JP,4653,false,true,false,false,false,false,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,1,1,2,0,0,4,2,5,1,false,false,false,true,false,false,"The most wobbliest robot I've seen, almost capsized b/c algae, coral can easily fall off the robot, but can shoot into processor from both reef algae and ground algae."
